time,screen,pupil,subject_id,stimulus_id,pixel
2363629,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,106.7
2363631,stimulus_Lit_NorthWind_7_page_1,1628.0,7,practice2,76.8
2363631,stimulus_Lit_NorthWind_7_page_1,1628.0,7,practice2,106.8
2363633,stimulus_Lit_NorthWind_7_page_1,1626.0,7,practice2,77.1
2363633,stimulus_Lit_NorthWind_7_page_1,1626.0,7,practice2,107.0
2363635,stimulus_Lit_NorthWind_7_page_1,1627.0,7,practice2,76.9
2363635,stimulus_Lit_NorthWind_7_page_1,1627.0,7,practice2,107.1
2363637,stimulus_Lit_NorthWind_7_page_1,1630.0,7,practice2,77.2
2363637,stimulus_Lit_NorthWind_7_page_1,1630.0,7,practice2,107.0
2363639,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,77.4
2363639,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,106.9
2363641,stimulus_Lit_NorthWind_7_page_1,1630.0,7,practice2,77.0
2363641,stimulus_Lit_NorthWind_7_page_1,1630.0,7,practice2,106.8
2363643,stimulus_Lit_NorthWind_7_page_1,1629.0,7,practice2,77.4
2363643,stimulus_Lit_NorthWind_7_page_1,1629.0,7,practice2,106.9
2363645,stimulus_Lit_NorthWind_7_page_1,1631.0,7,practice2,77.7
2363645,stimulus_Lit_NorthWind_7_page_1,1631.0,7,practice2,106.9
2363647,stimulus_Lit_NorthWind_7_page_1,1634.0,7,practice2,77.5
2363647,stimulus_Lit_NorthWind_7_page_1,1634.0,7,practice2,106.7
2363649,stimulus_Lit_NorthWind_7_page_1,1633.0,7,practice2,77.3
2363649,stimulus_Lit_NorthWind_7_page_1,1633.0,7,practice2,106.6
2363651,stimulus_Lit_NorthWind_7_page_1,1628.0,7,practice2,77.2
2363651,stimulus_Lit_NorthWind_7_page_1,1628.0,7,practice2,106.5
2363653,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,77.1
2363653,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,106.6
2363655,stimulus_Lit_NorthWind_7_page_1,1630.0,7,practice2,77.0
2363655,stimulus_Lit_NorthWind_7_page_1,1630.0,7,practice2,106.8
2363657,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,77.0
2363657,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,106.8
2363659,stimulus_Lit_NorthWind_7_page_1,1634.0,7,practice2,77.2
2363659,stimulus_Lit_NorthWind_7_page_1,1634.0,7,practice2,107.0
2363661,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,77.5
2363661,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,107.2
2363663,stimulus_Lit_NorthWind_7_page_1,1631.0,7,practice2,77.8
